comet_id,severity,rule,message,details
19,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.08;expected_q=0.7670000000000007;diff=0.3129999999999994;allowed=0.03
21,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.48;expected_q=1.5440000000000014;diff=0.06400000000000139;allowed=0.03088000000000003
27,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.03;expected_q=2.076000000000002;diff=0.04600000000000204;allowed=0.041520000000000036
32,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.799;expected_q=1.3100000000000012;diff=0.5110000000000011;allowed=0.03
36,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.18;expected_q=1.096000000000001;diff=0.08399999999999896;allowed=0.03
39,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.167;expected_q=0.2330000000000002;diff=0.0660000000000002;allowed=0.03
42,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.736;expected_q=0.6900000000000006;diff=0.045999999999999375;allowed=0.03
45,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.476;expected_q=0.5240000000000005;diff=0.04800000000000049;allowed=0.03
46,WARN,incomplete_core_fields,Orbitdatensatz hat fehlende Kernfelder.,"missing=e,a,q,i,om,w"
47,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=0.429;expected_q=0.6380000000000006;diff=0.20900000000000057;allowed=0.03
51,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.02;expected_q=3.2100000000000026;diff=1.1900000000000026;allowed=0.06420000000000005
162,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.14;expected_q=4.640000000000004;diff=0.49999999999999556;allowed=0.1028
165,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=4.93;expected_q=5.560000000000005;diff=0.6300000000000052;allowed=0.1112000000000001
173,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.56;expected_q=5.100000000000005;diff=0.45999999999999464;allowed=0.1112
176,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.85;expected_q=7.870000000000007;diff=2.0200000000000076;allowed=0.15740000000000015
180,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.17;expected_q=2.6600000000000024;diff=0.5099999999999976;allowed=0.0634
181,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.74;expected_q=2.5200000000000022;diff=0.21999999999999797;allowed=0.05480000000000001
183,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.47;expected_q=2.330000000000002;diff=0.13999999999999835;allowed=0.049400000000000006
185,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=2.98;expected_q=3.204000000000003;diff=0.22400000000000286;allowed=0.06408000000000005
186,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=8.74;expected_q=9.380000000000008;diff=0.6400000000000077;allowed=0.18760000000000016
190,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=3.54;expected_q=3.8160000000000034;diff=0.27600000000000335;allowed=0.07632000000000007
191,WARN,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=1.2;expected_q=1.100000000000001;diff=0.09999999999999898;allowed=0.03
200,ERROR,q_inconsistent_with_a_e,q passt nicht zur Beziehung q = a * (1 - e).,q=5.52;expected_q=4.950000000000005;diff=0.569999999999995;allowed=0.1104
